VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
JTDACACU1R,Thurston,Yelm,WA,98597,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,2,260228930,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
WMEEJ9AA9D,Thurston,Olympia,WA,98501,2013,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,68,0,22,349200211,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011200
7SAYGDEE5R,Thurston,Olympia,WA,98501,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,264382009,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
3MW5P9J08N,Thurston,Tumwater,WA,98512,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,22,209651263,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011822
WVGGNPE20M,Thurston,Olympia,WA,98502,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,202065678,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
KNDCS3LF7P,Thurston,Lacey,WA,98516,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,22,228590449,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012226
JA4J24A50K,Thurston,Yelm,WA,98597,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,20,251833599,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012510
7SAYGDEE0P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,257453010,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
7SAYGDEE5P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,231036011,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010802
YV4H60LE7R,Thurston,Olympia,WA,98501,2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,22,267371828,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
1N4AZ0CP2D,Thurston,Olympia,WA,98502,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,253569473,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012002
7SAXCDE53P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,254916714,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
5YJYGDEE5M,Thurston,Olympia,WA,98502,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,161692870,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
5YJ3E1EB7K,Thurston,Tenino,WA,98589,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,35,207105636,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012610
1G1FY6S03M,Thurston,Olympia,WA,98506,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,152103080,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
5YJ3E1EB4J,Thurston,Olympia,WA,98506,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,292977828,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
